"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","286","Update course","LMS service","Fri May 08 02:30:54 UTC 2026","passed","Fri May 08 02:30:54 UTC 2026","Update entity","Courses","",""
"","23","Get courses","LMS service","Fri May 08 02:30:55 UTC 2026","passed","Fri May 08 02:30:55 UTC 2026","Get entities","Courses","",""
"","249","Create file","LMS service","Fri May 08 02:30:59 UTC 2026","passed","Fri May 08 02:30:59 UTC 2026","Create entity","Files","",""
"","505","Create user","LMS service","Fri May 08 02:31:01 UTC 2026","passed","Fri May 08 02:31:01 UTC 2026","Create entity","Users","",""
"","273","Update exercise","LMS service","Fri May 08 02:30:56 UTC 2026","passed","Fri May 08 02:30:57 UTC 2026","Update entity","Exercises","",""
"","276","Delete exercise","LMS service","Fri May 08 02:30:58 UTC 2026","passed","Fri May 08 02:30:58 UTC 2026","Delete entity","Exercises","",""
"","274","Create user","LMS service","Fri May 08 02:31:02 UTC 2026","passed","Fri May 08 02:31:02 UTC 2026","Create entity","Users","",""
"","13","Get file","LMS service","Fri May 08 02:30:59 UTC 2026","passed","Fri May 08 02:30:59 UTC 2026","Get entity","Files","",""
"","13","Get exercises","LMS service","Fri May 08 02:30:58 UTC 2026","passed","Fri May 08 02:30:58 UTC 2026","Get entities","Exercises","",""
"","525","Login with correct email and password","LMS service","Fri May 08 02:30:53 UTC 2026","passed","Fri May 08 02:30:54 UTC 2026","Login","Authentication","",""
"","19","Delete file","LMS service","Fri May 08 02:31:01 UTC 2026","passed","Fri May 08 02:31:01 UTC 2026","Delete entity","Files","",""
"","256","Create file with empty filename","LMS service","Fri May 08 02:31:00 UTC 2026","passed","Fri May 08 02:31:00 UTC 2026","Validate entity","Files","",""
"","524","Create user","LMS service","Fri May 08 02:31:02 UTC 2026","passed","Fri May 08 02:31:02 UTC 2026","Create entity","Users","",""
"","11","Get user me","LMS service","Fri May 08 02:31:03 UTC 2026","passed","Fri May 08 02:31:03 UTC 2026","Get entity","Users","",""
"","241","Get file with incorrect file id","LMS service","Fri May 08 02:31:01 UTC 2026","passed","Fri May 08 02:31:01 UTC 2026","Validate entity","Files","",""
"","17","Get exercise","LMS service","Fri May 08 02:30:57 UTC 2026","passed","Fri May 08 02:30:57 UTC 2026","Get entity","Exercises","",""
"","246","Create file with empty directory","LMS service","Fri May 08 02:31:00 UTC 2026","passed","Fri May 08 02:31:00 UTC 2026","Validate entity","Files","",""
"","27","Create course","LMS service","Fri May 08 02:30:55 UTC 2026","passed","Fri May 08 02:30:55 UTC 2026","Create entity","Courses","",""
"","19","Create exercise","LMS service","Fri May 08 02:30:56 UTC 2026","passed","Fri May 08 02:30:56 UTC 2026","Create entity","Exercises","",""
